nationality,n,position_group,ability_tier,stratum_label,role
Spain,151,Midfielder,Regular (70-77),Regular midfielders,main
Brazil,132,Midfielder,Regular (70-77),Regular midfielders,main
Argentina,124,Midfielder,Regular (70-77),Regular midfielders,main
France,119,Midfielder,Regular (70-77),Regular midfielders,main
England,86,Midfielder,Regular (70-77),Regular midfielders,main
Germany,74,Midfielder,Regular (70-77),Regular midfielders,main
Italy,56,Midfielder,Regular (70-77),Regular midfielders,main
Portugal,52,Midfielder,Regular (70-77),Regular midfielders,main
Brazil,144,Defender,Regular (70-77),Regular defenders,main
Spain,115,Defender,Regular (70-77),Regular defenders,main
Argentina,99,Defender,Regular (70-77),Regular defenders,main
England,96,Defender,Regular (70-77),Regular defenders,main
France,96,Defender,Regular (70-77),Regular defenders,main
Germany,87,Defender,Regular (70-77),Regular defenders,main
Italy,70,Defender,Regular (70-77),Regular defenders,main
Netherlands,42,Defender,Regular (70-77),Regular defenders,main
England,415,Midfielder,Development (<70),Development midfielders,robustness
Germany,349,Midfielder,Development (<70),Development midfielders,robustness
France,219,Midfielder,Development (<70),Development midfielders,robustness
Argentina,204,Midfielder,Development (<70),Development midfielders,robustness
Spain,203,Midfielder,Development (<70),Development midfielders,robustness
Republic of Ireland,153,Midfielder,Development (<70),Development midfielders,robustness
China PR,152,Midfielder,Development (<70),Development midfielders,robustness
Italy,126,Midfielder,Development (<70),Development midfielders,robustness
