Known As,Full Name,Overall,Potential,Value(in Euro),Positions Played,Best Position,Nationality,Image Link,Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Club Name,Wage(in Euro),Release Clause,Club Position,Contract Until,Club Jersey Number,Joined On,On Loan,Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,National Team Name,National Team Image Link,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Freekick Accuracy,LongPassing,BallControl,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,Goalkeeper Diving,Goalkeeper Handling,GoalkeeperKicking,Goalkeeper Positioning,Goalkeeper Reflexes,ST Rating,LW Rating,LF Rating,CF Rating,RF Rating,RW Rating,CAM Rating,LM Rating,CM Rating,RM Rating,LWB Rating,CDM Rating,RWB Rating,LB Rating,CB Rating,RB Rating,GK Rating,player,overall,potential,value_eur,age,total_stats,best_position,nationality,position_group,ability_tier,cell
Canales,Sergio Canales Madrazo,84,84,35000000,"RM,CAM,CDM",RM,Spain,https://cdn.sofifa.net/players/190/286/23_60.png,31,176,65,2213,468,Real Betis Balompié,42000,73500000,RM,2026,10,2018,-,Left,3,4,2,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium,83,79,85,82,68,71,81,78,50,84,67,82,85,84,86,83,84,82,83,84,81,78,39,80,71,84,68,77,84,90,80,80,64,74,62,15,12,16,13,12,80,83,82,82,82,83,84,84,84,84,80,80,80,77,71,77,23,Canales,84,84,35000000,31,2213,RM,Spain,Midfield,Starter 78-84,Midfield / Starter 78-84
Muniain,Iker Muniain Goñi,84,84,41500000,"LM,CAM",LM,Spain,https://cdn.sofifa.net/players/189/575/23_60.png,29,170,66,2088,439,Athletic Club de Bilbao,49000,87200000,CAM,2024,10,2009,-,Right,3,4,2,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium,81,77,82,87,51,61,81,79,43,85,75,87,84,79,74,87,84,78,91,81,94,73,72,77,49,78,66,45,82,84,64,84,58,55,38,10,5,5,13,12,78,83,82,82,82,83,84,84,81,84,71,69,71,67,58,67,20,Muniain,84,84,41500000,29,2088,LM,Spain,Midfield,Starter 78-84,Midfield / Starter 78-84
J. Bellingham,Jude Bellingham,84,91,81500000,"CM,LM",CM,England,https://cdn.sofifa.net/players/252/371/23_60.png,19,186,75,2182,469,Borussia Dortmund,41000,154900000,CDM,2025,22,2020,-,Right,4,4,2,England,https://cdn.sofifa.net/flags/gb-eng.png,SUB,26,High,High,75,75,78,84,77,80,66,77,67,84,71,85,68,49,82,84,78,73,81,84,79,78,76,89,74,74,85,80,77,84,56,79,79,78,76,14,11,10,5,8,80,80,81,81,81,80,84,82,85,82,81,84,81,80,80,80,20,J. Bellingham,84,91,81500000,19,2182,CM,England,Midfield,Starter 78-84,Midfield / Starter 78-84
M. Diaby,Moussa Diaby,84,88,61500000,"RM,LM,LW",RM,France,https://cdn.sofifa.net/players/241/852/23_60.png,22,171,67,1960,429,Bayer 04 Leverkusen,70000,109200000,RM,2025,19,2019,-,Left,3,4,2,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Low,93,73,75,87,42,59,76,80,28,80,67,88,71,42,73,85,95,92,92,76,93,73,62,82,44,64,67,48,79,77,50,75,48,35,46,8,9,8,8,14,75,83,80,80,80,83,83,84,77,84,70,65,70,65,52,65,19,M. Diaby,84,88,61500000,22,1960,RM,France,Midfield,Starter 78-84,Midfield / Starter 78-84
J. Tartt,Jamie Tartt,84,91,85500000,ST,CAM,England,https://cdn.sofifa.net/players/269/761/23_60.png,24,178,84,2073,438,AFC Richmond,78000,179600000,ST,2025,9,2020,-,Right,4,5,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Low,83,87,80,85,29,74,74,86,72,83,83,88,77,90,77,85,81,85,81,81,77,90,66,78,79,85,58,27,84,81,89,84,22,28,17,5,12,6,12,14,86,83,84,84,84,83,86,85,79,85,61,59,61,56,49,56,20,J. Tartt,84,91,85500000,24,2073,CAM,England,Midfield,Starter 78-84,Midfield / Starter 78-84
L. Sané,Leroy Sané,84,85,49500000,LM,LM,Germany,https://cdn.sofifa.net/players/222/492/23_60.png,26,183,80,2086,438,FC Bayern München,90000,85400000,LM,2025,10,2020,-,Left,2,4,3,Germany,https://cdn.sofifa.net/flags/de.png,LM,19,Medium,Medium,88,81,80,85,38,66,82,80,72,82,84,86,84,83,70,85,89,88,87,82,81,86,64,70,66,80,63,34,81,81,71,82,36,32,35,8,12,9,9,14,84,84,83,83,83,84,85,85,78,85,67,63,67,63,55,63,21,L. Sané,84,85,49500000,26,2086,LM,Germany,Midfield,Starter 78-84,Midfield / Starter 78-84
K. Havertz,Kai Havertz,84,91,84500000,"CAM,CF,ST",CAM,Germany,https://cdn.sofifa.net/players/235/790/23_60.png,23,189,82,2042,434,Chelsea,130000,173200000,LW,2025,29,2020,-,Left,4,4,3,Germany,https://cdn.sofifa.net/flags/de.png,SUB,7,Medium,Medium,81,79,79,84,45,66,74,81,80,84,80,85,84,53,79,85,76,85,77,84,75,74,75,77,69,78,42,38,82,82,73,84,39,46,38,6,8,11,10,12,84,82,82,82,82,82,86,85,81,85,68,66,68,65,59,65,20,K. Havertz,84,91,84500000,23,2042,CAM,Germany,Midfield,Starter 78-84,Midfield / Starter 78-84
D. Rice,Declan Rice,84,87,52000000,CDM,CDM,England,https://cdn.sofifa.net/players/234/378/23_60.png,23,185,80,2075,450,West Ham United,83000,102700000,CDM,2024,41,2016,-,Right,3,2,1,England,https://cdn.sofifa.net/flags/gb-eng.png,CM,4,Medium,High,71,64,74,76,82,83,55,61,72,83,50,78,58,58,84,79,68,74,55,81,67,74,74,90,79,65,84,85,58,79,71,83,82,84,80,8,11,14,5,9,72,71,73,73,73,71,77,76,81,76,80,85,80,81,83,81,19,D. Rice,84,87,52000000,23,2075,CDM,England,Midfield,Starter 78-84,Midfield / Starter 78-84
M. Mount,Mason Mount,84,87,57500000,"CAM,RW",CAM,England,https://cdn.sofifa.net/players/233/064/23_60.png,23,180,74,2119,444,Chelsea,130000,110700000,RW,2024,19,2016,-,Right,4,3,3,England,https://cdn.sofifa.net/flags/gb-eng.png,CAM,19,High,High,74,81,85,82,55,67,83,81,59,87,75,82,82,84,84,85,76,72,77,84,76,81,54,86,58,83,68,59,82,83,69,84,55,57,41,11,12,13,8,12,81,82,82,82,82,82,86,85,85,85,74,74,74,71,64,71,22,M. Mount,84,87,57500000,23,2119,CAM,England,Midfield,Starter 78-84,Midfield / Starter 78-84
J. Sancho,Jadon Sancho,84,88,61500000,"LW,RW,LM",CAM,England,https://cdn.sofifa.net/players/233/049/23_60.png,22,180,76,1977,420,Manchester United,155000,121500000,LM,2026,25,2021,-,Right,3,5,3,England,https://cdn.sofifa.net/flags/gb-eng.png,SUB,17,High,Medium,81,74,81,89,36,59,80,77,38,86,83,91,84,65,70,88,84,78,90,81,89,71,51,66,62,65,44,39,81,85,74,85,32,39,32,7,11,10,11,13,78,83,82,82,82,83,86,86,80,86,67,63,67,61,50,61,21,J. Sancho,84,88,61500000,22,1977,CAM,England,Midfield,Starter 78-84,Midfield / Starter 78-84
