cell,nationality,n,mean_value_eur,median_value_eur,sd_log_value,shapiro_p_log_value
Midfield / Rotation 70-77,Spain,151,4926490.059602649,3600000,0.7802733083407777,0.5225292807322626
Midfield / Rotation 70-77,Brazil,132,4477840.863636363,3100000,0.7472312532724754,0.01720485953771086
Midfield / Rotation 70-77,Argentina,124,3941532.2419354836,3150000,0.7802606168025366,0.27024709067352404
Midfield / Rotation 70-77,France,119,4798949.579831933,3500000,0.7254303388776117,0.29547804232625674
Midfield / Rotation 70-77,England,86,5611046.511627907,4200000,0.782285722935413,0.4743725468461706
Midfield / Rotation 70-77,Germany,74,4305405.405405405,2600000,0.7533573341266423,0.016552266330581974
Defender / Rotation 70-77,Spain,115,4046304.347826087,3300000,0.7807430378012173,0.3852676548936953
Defender / Rotation 70-77,Brazil,144,3529687.5,2650000,0.6206550269384844,0.04248271535409853
Defender / Rotation 70-77,Argentina,99,2729292.9191919193,2100000,0.7517879663343682,0.3613117989701748
Defender / Rotation 70-77,France,96,5019010.395833333,3600000,0.9400411119571799,0.10765119558836855
Defender / Rotation 70-77,England,96,4259635.416666667,3000000,0.8269116153520558,0.11514099727904085
Defender / Rotation 70-77,Germany,87,3926724.114942529,2900000,0.6645061613186926,0.10450709203934826
Forward / Rotation 70-77,Spain,58,4291379.310344827,3250000,0.7366323352477149,0.7040916261926935
Forward / Rotation 70-77,Brazil,59,3271186.3559322036,2800000,0.5715068396156978,0.21960796350716957
Forward / Rotation 70-77,Argentina,61,3623360.655737705,2500000,0.7578641254973827,0.3130321804069484
Forward / Rotation 70-77,France,34,5441911.764705882,3600000,0.8089804215524901,0.34792175614994314
Forward / Rotation 70-77,England,27,4354629.62962963,3100000,0.8046868799640764,0.1214058117982399
Forward / Rotation 70-77,Germany,39,3976282.0512820515,2700000,0.7139007948366162,0.24917551401526178
Midfield / Starter 78-84,Spain,41,25987804.87804878,22500000,0.5092337694708307,0.15814699194166487
Midfield / Starter 78-84,Brazil,24,28145833.333333332,25750000,0.4209178895738227,0.4311372649473839
Midfield / Starter 78-84,France,29,28051724.137931034,25000000,0.44338264184942777,0.46761068558078006
Midfield / Starter 78-84,England,20,39020000,32250000,0.6650827257179208,0.0369268605618945
Midfield / Starter 78-84,Germany,20,29800000,25500000,0.634783039080781,0.5354217626910464
