cell,nationality,mean_value_eur,se_eur,df,ci_low_eur,ci_high_eur
Midfield / Starter 78-84,Spain,26665262.217549283,995671.9955544298,127,24766036.448176797,28710133.356159445
Midfield / Starter 78-84,Brazil,27362475.699858632,1334324.014967569,127,24845482.729926147,30134454.80467747
Midfield / Starter 78-84,France,25027439.42214187,1098288.153771973,127,22945814.57190368,27297907.514512546
Midfield / Starter 78-84,England,26153107.107928462,1414256.9260791002,127,23499079.331416104,29106885.497609828
Midfield / Starter 78-84,Germany,26824861.054739796,1422788.4563217096,127,24152132.562451877,29793359.60273672
Midfield / Rotation 70-77,Spain,3835837.885946123,132532.35674385022,678,3584245.209806025,4105090.8701795842
Midfield / Rotation 70-77,Brazil,4307026.096797403,159554.12062312543,678,4004868.714082678,4631980.50244773
Midfield / Rotation 70-77,Argentina,3434898.6246752953,130756.68825900482,678,3187521.9800755386,3701473.632353315
Midfield / Rotation 70-77,France,3699404.095554884,143770.74205982656,678,3427616.180508122,3992743.043994923
Midfield / Rotation 70-77,England,3772532.5456449958,173292.930461267,678,3447170.4317306024,4128604.0507158046
Midfield / Rotation 70-77,Germany,4012251.7603888866,198271.8188603222,678,3641241.392621624,4421064.810853792
Defender / Rotation 70-77,Spain,3064807.892208025,107021.32629606071,629,2861689.3381905463,3282343.5062590847
Defender / Rotation 70-77,Brazil,3642304.4816541546,114559.75670372068,629,3424145.225652908,3874363.1075251307
Defender / Rotation 70-77,Argentina,2733795.2154736505,103194.45235782997,629,2538476.4701013416,2944142.428804258
Defender / Rotation 70-77,France,2989140.929220313,114720.14415761521,629,2772140.0857827743,3223128.42001168
Defender / Rotation 70-77,England,3004955.309230569,114412.92752448728,629,2788471.741117106,3238245.6229789588
Defender / Rotation 70-77,Germany,3346445.442013915,133680.6385606355,629,3093963.5978809004,3619530.9809222887
Forward / Rotation 70-77,Spain,3346008.0532170264,174433.32977074463,270,3019621.669351505,3707673.052497865
Forward / Rotation 70-77,Brazil,3536405.192734677,187876.64962191874,270,3185202.797336543,3926331.377599694
Forward / Rotation 70-77,Argentina,3086443.0562011464,158676.50092797622,270,2789332.440014414,3415200.9285501465
Forward / Rotation 70-77,France,3404073.8436352997,234525.14419828926,270,2972288.901547375,3898584.26174166
Forward / Rotation 70-77,England,3219687.2221960155,246053.0016339056,270,2769942.6267767996,3742455.0633508884
Forward / Rotation 70-77,Germany,3282811.081049443,208432.47196945397,270,2897063.3942082166,3719921.564507699
