term,estimate,std.error,statistic,p.value,conf.low,conf.high,percent_change,ci_low_percent,ci_high_percent
(Intercept),0.2350699314826746,0.14292752989490168,-10.130114397091134,1.817926661610134e-23,0.17781109343676596,0.3107221179680364,-76.49300685173253,-82.21889065632341,-68.92778820319636
cellDefender / Rotation 70-77,0.9253942754124311,0.009175771835360245,-8.4500127060525,6.10545574751955e-17,0.90891878085419,0.9421721968821343,-7.460572458756887,-9.108121914581002,-5.782780311786572
cellForward / Rotation 70-77,1.0669692664714048,0.011866774072354586,5.462492824725447,5.379909631411313e-8,1.042447981069073,1.092147518583261,6.696926647140478,4.244798106907299,9.214751858326098
cellMidfield / Starter 78-84,0.9881130595381329,0.020788067705588338,-0.5752412980200347,0.5652032255248529,0.9496801645852724,1.0282104606917442,-1.1886940461867113,-5.031983541472762,2.8210460691744155
nationalityBrazil,0.9385920381516407,0.012668244279879027,-5.002615748710179,6.232511852470163e-7,0.9157074876480281,0.9620513686321619,-6.140796184835928,-8.429251235197189,-3.7948631367838104
nationalityArgentina,0.9583096391221189,0.013284926876734453,-3.2054628161586964,0.001373155023044974,0.9336812187839519,0.9836133519672943,-4.169036087788114,-6.631878121604807,-1.638664803270573
nationalityFrance,0.9695785690107241,0.013235636821670865,-2.3341352777797577,0.019703059427367508,0.9447739811176936,0.995064453860093,-3.0421430989275855,-5.522601888230638,-0.4935546139906988
nationalityEngland,0.9740851702856085,0.014074010798632144,-1.8656043194227292,0.06226657393665844,0.9476198450870598,1.0013462674335605,-2.591482971439152,-5.238015491294023,0.13462674335604774
nationalityGermany,0.9784177651858168,0.01424722056115632,-1.5314241325191393,0.12584817615352106,0.9515080669360734,1.0061517218621734,-2.15822348141832,-4.849193306392663,0.6151721862173387
age,0.9064384155313804,0.0015275193037966727,-64.30831177417518,0,0.9034785425697495,0.9094124548675415,-9.356158446861961,-9.652145743025054,-9.058754513245848
potential,1.0159013785150137,0.001939132593890549,8.135738682243444,7.753818508365021e-16,1.0118796964105616,1.0199437018851671,1.590137851501372,1.1879696410561635,1.9943701885167142
overall,1.280189506714487,0.0026002214728869707,94.99503087301916,0,1.2736092813162003,1.2867983898577715,28.018950671448707,27.36092813162003,28.679838985777153
