variable,missing_n,missing_pct
ability_tier,0,0
acceleration,0,0
age,0,0
aggression,0,0
agility,0,0
attacking_work_rate,0,0
balance,0,0
ballcontrol,0,0
base_stats,0,0
basestats,0,0
best_position,0,0
cam_rating,0,0
cb_rating,0,0
cdm_rating,0,0
cf_rating,0,0
club_jersey_number,0,0
club_name,0,0
club_position,0,0
cm_rating,0,0
composure,0,0
contract_until,0,0
crossing,0,0
curve,0,0
defending_total,0,0
defensive_work_rate,0,0
dribbling,0,0
dribbling_total,0,0
finishing,0,0
freekick_accuracy,0,0
full_name,0,0
gk_rating,0,0
goalkeeper_diving,0,0
goalkeeper_handling,0,0
goalkeeper_positioning,0,0
goalkeeper_reflexes,0,0
goalkeeperkicking,0,0
heading_accuracy,0,0
height_in_cm,0,0
image_link,0,0
interceptions,0,0
international_reputation,0,0
joined_on,0,0
jumping,0,0
known_as,0,0
lb_rating,0,0
lf_rating,0,0
lm_rating,0,0
long_shots,0,0
longpassing,0,0
lw_rating,0,0
lwb_rating,0,0
marking,0,0
national_team_image_link,0,0
national_team_jersey_number,0,0
national_team_name,0,0
national_team_position,0,0
nationality,0,0
on_loan,0,0
overall,0,0
pace_total,0,0
passing_total,0,0
penalties,0,0
physicality_total,0,0
position_group,0,0
positioning,0,0
positions_played,0,0
potential,0,0
preferred_foot,0,0
rb_rating,0,0
reactions,0,0
release_clause,0,0
rf_rating,0,0
rm_rating,0,0
rw_rating,0,0
rwb_rating,0,0
shooting_total,0,0
short_passing,0,0
shot_power,0,0
skill_moves,0,0
sliding_tackle,0,0
sprint_speed,0,0
st_rating,0,0
stamina,0,0
standing_tackle,0,0
strength,0,0
total_stats,0,0
totalstats,0,0
value_eur,0,0
value_in_euro,0,0
vision,0,0
volleys,0,0
wage_eur,0,0
wage_in_euro,0,0
weak_foot_rating,0,0
weight_in_kg,0,0
