variable,n_missing
Known As,0
Full Name,0
Overall,0
Potential,0
Value(in Euro),0
Positions Played,0
Best Position,0
Nationality,0
Image Link,0
Age,0
Height(in cm),0
Weight(in kg),0
TotalStats,0
BaseStats,0
Club Name,0
Wage(in Euro),0
Release Clause,0
Club Position,0
Contract Until,0
Club Jersey Number,0
Joined On,0
On Loan,0
Preferred Foot,0
Weak Foot Rating,0
Skill Moves,0
International Reputation,0
National Team Name,0
National Team Image Link,0
National Team Position,0
National Team Jersey Number,0
Attacking Work Rate,0
Defensive Work Rate,0
Pace Total,0
Shooting Total,0
Passing Total,0
Dribbling Total,0
Defending Total,0
Physicality Total,0
Crossing,0
Finishing,0
Heading Accuracy,0
Short Passing,0
Volleys,0
Dribbling,0
Curve,0
Freekick Accuracy,0
LongPassing,0
BallControl,0
Acceleration,0
Sprint Speed,0
Agility,0
Reactions,0
Balance,0
Shot Power,0
Jumping,0
Stamina,0
Strength,0
Long Shots,0
Aggression,0
Interceptions,0
Positioning,0
Vision,0
Penalties,0
Composure,0
Marking,0
Standing Tackle,0
Sliding Tackle,0
Goalkeeper Diving,0
Goalkeeper Handling,0
GoalkeeperKicking,0
Goalkeeper Positioning,0
Goalkeeper Reflexes,0
ST Rating,0
LW Rating,0
LF Rating,0
CF Rating,0
RF Rating,0
RW Rating,0
CAM Rating,0
LM Rating,0
CM Rating,0
RM Rating,0
LWB Rating,0
CDM Rating,0
RWB Rating,0
LB Rating,0
CB Rating,0
RB Rating,0
GK Rating,0
player,0
overall,0
potential,0
value_eur,0
age,0
total_stats,0
best_position,0
nationality,0
position_group,0
ability_tier,0
cell,0
