nationality,n
England,1492
Germany,1188
Spain,1023
France,922
Argentina,868
Brazil,672
Italy,613
China PR,432
Netherlands,421
United States,404
Poland,387
Sweden,372
Portugal,363
Republic of Ireland,361
Norway,359
Romania,330
Korea Republic,315
Saudi Arabia,311
Belgium,309
Denmark,300
Austria,281
Turkey,275
Colombia,260
Australia,258
Scotland,250
Uruguay,246
Switzerland,212
India,190
Paraguay,170
Croatia,162
Chile,159
Venezuela,158
Ecuador,152
Wales,146
Peru,140
Nigeria,129
Ghana,126
Bolivia,114
Senegal,114
Serbia,101
Morocco,100
Czech Republic,93
Côte d'Ivoire,92
Greece,88
Ukraine,85
South Africa,82
Canada,77
Japan,77
Cameroon,74
Finland,66
Northern Ireland,66
Slovakia,63
Bosnia and Herzegovina,61
Algeria,57
Mali,57
Kosovo,54
Iceland,53
Albania,49
Slovenia,48
Congo DR,44
Mexico,43
Jamaica,38
Hungary,34
Gambia,32
New Zealand,32
Tunisia,31
Cape Verde Islands,29
Georgia,29
North Macedonia,29
Guinea,28
Montenegro,26
Bulgaria,22
Guinea Bissau,21
Angola,20
Costa Rica,20
Russia,20
Cyprus,19
Israel,19
United Arab Emirates,19
Congo,18
Burkina Faso,16
Iran,16
Benin,15
Togo,15
Zimbabwe,15
Gabon,14
Luxembourg,14
Suriname,14
Egypt,13
Curacao,12
Moldova,12
Comoros,11
Sierra Leone,11
Zambia,11
Estonia,10
Honduras,10
Kenya,10
Lithuania,10
Panama,10
Uganda,10
Haiti,9
Iraq,9
Armenia,8
Mozambique,8
Azerbaijan,7
Equatorial Guinea,7
Madagascar,7
Mauritania,6
El Salvador,5
Faroe Islands,5
Grenada,5
Latvia,5
Liberia,5
Philippines,5
Cuba,4
Guyana,4
Saint Kitts and Nevis,4
Sudan,4
Tanzania,4
Trinidad and Tobago,4
Antigua and Barbuda,3
Belarus,3
Central African Republic,3
Dominican Republic,3
Libya,3
Montserrat,3
Namibia,3
Puerto Rico,3
Uzbekistan,3
Burundi,2
Ethiopia,2
Jordan,2
Malta,2
Saint Lucia,2
South Sudan,2
Syria,2
Thailand,2
Afghanistan,1
Andorra,1
Bermuda,1
Chad,1
Fiji,1
Gibraltar,1
Guam,1
Guatemala,1
Indonesia,1
Kazakhstan,1
Korea DPR,1
Lebanon,1
Liechtenstein,1
Mauritius,1
Palestine,1
Papua New Guinea,1
Singapore,1
São Tomé e Príncipe,1
Vietnam,1
