nationality,n,pct
England,1492,0.08561918971651555
Germany,1188,0.06817399288419602
Spain,1023,0.05870538276139103
France,922,0.052909445655916446
Argentina,868,0.0498106277975439
Brazil,672,0.038563066681969474
Italy,613,0.03517732124411799
China PR,432,0.024790542866980375
Netherlands,421,0.024159302192126707
United States,404,0.023183748421898312
Poland,387,0.02220819465166992
Sweden,372,0.0213474119132331
Portugal,363,0.02083094227017101
Republic of Ireland,361,0.020716171238379433
Norway,359,0.020601400206587857
Romania,330,0.01893722024561001
Korea Republic,315,0.01807643750717319
Saudi Arabia,311,0.017846895443590038
Belgium,309,0.017732124411798462
Denmark,300,0.01721565476873637
Austria,281,0.016125329966716402
Turkey,275,0.015781016871341674
Colombia,260,0.014920234132904855
Australia,258,0.014805463101113279
Scotland,250,0.014346378973946975
Uruguay,246,0.014116836910363825
Switzerland,212,0.012165729369907036
India,190,0.010903248020199702
Paraguay,170,0.009755537702283943
Croatia,162,0.00929645357511764
Chile,159,0.009124297027430277
Venezuela,158,0.009066911511534489
Ecuador,152,0.008722598416159761
Wales,146,0.008378285320785033
Peru,140,0.008033972225410307
Nigeria,129,0.007402731550556639
Ghana,126,0.0072305750028692755
Bolivia,114,0.006541948812119821
Senegal,114,0.006541948812119821
Serbia,101,0.005795937105474578
Morocco,100,0.00573855158957879
Czech Republic,93,0.005336852978308275
Côte d'Ivoire,92,0.005279467462412487
Greece,88,0.005049925398829335
Ukraine,85,0.004877768851141971
South Africa,82,0.004705612303454608
Canada,77,0.0044186847239756685
Japan,77,0.0044186847239756685
Cameroon,74,0.0042465281762883045
Finland,66,0.0037874440491220017
Northern Ireland,66,0.0037874440491220017
Slovakia,63,0.0036152875014346377
Bosnia and Herzegovina,61,0.0035005164696430622
Algeria,57,0.0032709744060599104
Mali,57,0.0032709744060599104
Kosovo,54,0.003098817858372547
Iceland,53,0.003041432342476759
Albania,49,0.002811890278893607
Slovenia,48,0.0027545047629978195
Congo DR,44,0.0025249626994146676
Mexico,43,0.0024675771835188797
Jamaica,38,0.0021806496040399402
Hungary,34,0.0019511075404567888
Gambia,32,0.0018363365086652129
New Zealand,32,0.0018363365086652129
Tunisia,31,0.0017789509927694249
Cape Verde Islands,29,0.0016641799609778492
Georgia,29,0.0016641799609778492
North Macedonia,29,0.0016641799609778492
Guinea,28,0.0016067944450820612
Montenegro,26,0.0014920234132904855
Bulgaria,22,0.0012624813497073338
Guinea Bissau,21,0.001205095833811546
Angola,20,0.001147710317915758
Costa Rica,20,0.001147710317915758
Russia,20,0.001147710317915758
Cyprus,19,0.0010903248020199701
Israel,19,0.0010903248020199701
United Arab Emirates,19,0.0010903248020199701
Congo,18,0.0010329392861241822
Burkina Faso,16,9.181682543326064e-4
Iran,16,9.181682543326064e-4
Benin,15,8.607827384368186e-4
Togo,15,8.607827384368186e-4
Zimbabwe,15,8.607827384368186e-4
Gabon,14,8.033972225410306e-4
Luxembourg,14,8.033972225410306e-4
Suriname,14,8.033972225410306e-4
Egypt,13,7.460117066452427e-4
Curacao,12,6.886261907494549e-4
Moldova,12,6.886261907494549e-4
Comoros,11,6.312406748536669e-4
Sierra Leone,11,6.312406748536669e-4
Zambia,11,6.312406748536669e-4
Estonia,10,5.73855158957879e-4
Honduras,10,5.73855158957879e-4
Kenya,10,5.73855158957879e-4
Lithuania,10,5.73855158957879e-4
Panama,10,5.73855158957879e-4
Uganda,10,5.73855158957879e-4
Haiti,9,5.164696430620911e-4
Iraq,9,5.164696430620911e-4
Armenia,8,4.590841271663032e-4
Mozambique,8,4.590841271663032e-4
Azerbaijan,7,4.016986112705153e-4
Equatorial Guinea,7,4.016986112705153e-4
Madagascar,7,4.016986112705153e-4
Mauritania,6,3.4431309537472744e-4
El Salvador,5,2.869275794789395e-4
Faroe Islands,5,2.869275794789395e-4
Grenada,5,2.869275794789395e-4
Latvia,5,2.869275794789395e-4
Liberia,5,2.869275794789395e-4
Philippines,5,2.869275794789395e-4
Cuba,4,2.295420635831516e-4
Guyana,4,2.295420635831516e-4
Saint Kitts and Nevis,4,2.295420635831516e-4
Sudan,4,2.295420635831516e-4
Tanzania,4,2.295420635831516e-4
Trinidad and Tobago,4,2.295420635831516e-4
Antigua and Barbuda,3,1.7215654768736372e-4
Belarus,3,1.7215654768736372e-4
Central African Republic,3,1.7215654768736372e-4
Dominican Republic,3,1.7215654768736372e-4
Libya,3,1.7215654768736372e-4
Montserrat,3,1.7215654768736372e-4
Namibia,3,1.7215654768736372e-4
Puerto Rico,3,1.7215654768736372e-4
Uzbekistan,3,1.7215654768736372e-4
Burundi,2,1.147710317915758e-4
Ethiopia,2,1.147710317915758e-4
Jordan,2,1.147710317915758e-4
Malta,2,1.147710317915758e-4
Saint Lucia,2,1.147710317915758e-4
South Sudan,2,1.147710317915758e-4
Syria,2,1.147710317915758e-4
Thailand,2,1.147710317915758e-4
Afghanistan,1,5.73855158957879e-5
Andorra,1,5.73855158957879e-5
Bermuda,1,5.73855158957879e-5
Chad,1,5.73855158957879e-5
Fiji,1,5.73855158957879e-5
Gibraltar,1,5.73855158957879e-5
Guam,1,5.73855158957879e-5
Guatemala,1,5.73855158957879e-5
Indonesia,1,5.73855158957879e-5
Kazakhstan,1,5.73855158957879e-5
Korea DPR,1,5.73855158957879e-5
Lebanon,1,5.73855158957879e-5
Liechtenstein,1,5.73855158957879e-5
Mauritius,1,5.73855158957879e-5
Palestine,1,5.73855158957879e-5
Papua New Guinea,1,5.73855158957879e-5
Singapore,1,5.73855158957879e-5
São Tomé e Príncipe,1,5.73855158957879e-5
Vietnam,1,5.73855158957879e-5
