cell,contrast,nationality_1,nationality_2,ratio,SE,df,null,t.ratio,p.value,lower.CL,upper.CL,percent_difference,ci_low_percent,ci_high_percent
Midfield / Starter 78-84,Spain / Brazil,Spain,Brazil,0.9745193567293715,0.06019428740854203,127,1,-0.417867206572984,0.9935451165590704,0.8213994565343112,1.156182864604267,-2.548064327062849,-17.860054346568877,15.618286460426688
Midfield / Starter 78-84,Spain / France,Spain,France,1.0654410851938145,0.061709596226913535,127,1,1.0944345613954762,0.8091278157286367,0.9076515687869221,1.2506613165844278,6.544108519381453,-9.23484312130779,25.06613165844278
Midfield / Starter 78-84,Spain / England,Spain,England,1.0195829546182495,0.06792038460570518,127,1,0.2911270489819005,0.9984127467670381,0.8479306595963102,1.2259839759102433,1.9582954618249548,-15.20693404036898,22.598397591024334
Midfield / Starter 78-84,Spain / Germany,Spain,Germany,0.9940503387188176,0.0639774984054785,127,1,-0.09271895569638296,0.9999830625188628,0.8318726302111477,1.187845398467053,-0.594966128118235,-16.812736978885233,18.784539846705293
Midfield / Starter 78-84,Brazil / France,Brazil,France,1.093299048229878,0.07148349060506276,127,1,1.3642594700661919,0.6515419310015378,0.9123428891142003,1.31014646261,9.329904822987789,-8.765711088579975,31.01464626099999
Midfield / Starter 78-84,Brazil / England,Brazil,England,1.046241870495131,0.07641253458803342,127,1,0.6189418647710322,0.9718311806804499,0.8547807196438647,1.2805881396496792,4.6241870495131066,-14.521928035613529,28.05881396496792
Midfield / Starter 78-84,Brazil / Germany,Brazil,Germany,1.0200416562837653,0.0739752937589209,127,1,0.2736205677843471,0.998755588683613,0.8345600147210707,1.246746743434481,2.004165628376531,-16.543998527892935,24.6746743434481
Midfield / Starter 78-84,France / England,France,England,0.9569585487054659,0.06633432932229355,127,1,-0.6346877300146004,0.9691384038683171,0.7899206649906749,1.1593185297301754,-4.304145129453407,-21.00793350093251,15.931852973017534
Midfield / Starter 78-84,France / Germany,France,Germany,0.9329941866640047,0.06444837324045623,127,1,-1.0040444748064037,0.8530897555660075,0.7706529813620436,1.129533231429734,-6.700581333599532,-22.934701863795638,12.953323142973394
Midfield / Starter 78-84,England / Germany,England,Germany,0.9749577846669751,0.07430130401092375,127,1,-0.33278027530241616,0.9973235566926701,0.789574548154386,1.203866923148181,-2.5042215333024864,-21.0425451845614,20.386692314818088
Midfield / Rotation 70-77,Spain / Brazil,Spain,Brazil,0.8906001031194956,0.04525677149834896,678,1,-2.279984187282753,0.20365511069801046,0.7702144670938672,1.0298021883037305,-10.939989688050444,-22.97855329061328,2.9802188303730492
Midfield / Rotation 70-77,Spain / Argentina,Spain,Argentina,1.1167252094110132,0.05731482415642675,678,1,2.1510491106529193,0.2624997662957116,0.9643723915525199,1.2931469256667902,11.672520941101316,-3.562760844748014,29.314692566679025
Midfield / Rotation 70-77,Spain / France,Spain,France,1.0368799371107293,0.05388017368383198,678,1,0.6969501025531364,0.9822744360396485,0.8937846707918808,1.2028848100854186,3.6879937110729344,-10.621532920811916,20.288481008541858
Midfield / Rotation 70-77,Spain / England,Spain,England,1.016780594874975,0.058446739232645026,678,1,0.28950474028954776,0.9997267457737702,0.8627449707172481,1.1983179423866324,1.6780594874975074,-13.72550292827519,19.831794238663235
Midfield / Rotation 70-77,Spain / Germany,Spain,Germany,0.9560312051740077,0.057859068622124976,678,1,-0.7429722137056063,0.9764524554712811,0.8041863753713421,1.136547065777405,-4.396879482599225,-19.58136246286579,13.654706577740505
Midfield / Rotation 70-77,Brazil / Argentina,Brazil,Argentina,1.253901953861752,0.06656351281278451,678,1,4.26221755175115,3.3192268797521685e-4,1.0773981667665586,1.4593213153656543,25.390195386175197,7.739816676655864,45.932131536565436
Midfield / Rotation 70-77,Brazil / France,Brazil,France,1.164248615600718,0.0627092649803915,678,1,2.8234132890876458,0.055011131502073374,0.9981448843387372,1.3579940750046315,16.42486156007179,-0.18551156612628406,35.799407500463154
Midfield / Rotation 70-77,Brazil / England,Brazil,England,1.1416803022069146,0.06768314708980708,678,1,2.2350309148619973,0.2230684419799258,0.9637481474252801,1.352463209324434,14.168030220691463,-3.6251852574719856,35.246320932443396
Midfield / Rotation 70-77,Brazil / Germany,Brazil,Germany,1.0734685543212126,0.06599214543745473,678,1,1.153222117841191,0.8586643785077921,0.9005088091320712,1.279648489199254,7.346855432121258,-9.94911908679288,27.964848919925387
Midfield / Rotation 70-77,Argentina / France,Argentina,France,0.9285005195303183,0.050575349494506094,678,1,-1.3619321995423594,0.7498089420457683,0.7946502351685978,1.084896444515819,-7.149948046968168,-20.53497648314022,8.48964445158189
Midfield / Rotation 70-77,Argentina / England,Argentina,England,0.910502052166664,0.05447920184589275,678,1,-1.566981043657054,0.6206920867075257,0.7673911495629259,1.080301730703929,-8.949794783333598,-23.260885043707415,8.030173070392909
Midfield / Rotation 70-77,Argentina / Germany,Argentina,Germany,0.8561024655996087,0.053452289764386686,678,1,-2.4883599475231972,0.1289342142203912,0.7161952182946723,1.0233403028728114,-14.389753440039133,-28.380478170532776,2.3340302872811414
Midfield / Rotation 70-77,France / England,France,England,0.9806155548811551,0.05878681896310065,678,1,-0.326524571729513,0.9995075492710765,0.8262135897807034,1.163872004005779,-1.938444511884485,-17.378641021929663,16.387200400577907
Midfield / Rotation 70-77,France / Germany,France,Germany,0.9220269106932409,0.05806973536996617,678,1,-1.2889837530410233,0.7911245652242993,0.7701483796422633,1.1038569274630063,-7.797308930675905,-22.985162035773666,10.385692746300634
Midfield / Rotation 70-77,England / Germany,England,Germany,0.9402531971920282,0.0635580828111056,678,1,-0.9113760567044019,0.9436101873365319,0.7750792293837707,1.1406267144234,-5.974680280797184,-22.49207706162293,14.06267144233999
Defender / Rotation 70-77,Spain / Brazil,Spain,Brazil,0.8414474703158642,0.03990914199132384,629,1,-3.6397800749569265,0.0039889593399984324,0.7347616333540711,0.9636238654281719,-15.85525296841358,-26.523836664592892,-3.637613457182809
Defender / Rotation 70-77,Spain / Argentina,Spain,Argentina,1.1210817382592522,0.05758693515423734,629,1,2.2250355859083655,0.22765825394563555,0.9679830859420486,1.298394860520972,12.108173825925217,-3.2016914057951373,29.839486052097207
Defender / Rotation 70-77,Spain / France,Spain,France,1.025313949652903,0.05286494378210481,629,1,0.48485207846076617,0.9966875901400893,0.8848067313839862,1.1881336997837646,2.53139496529029,-11.519326861601375,18.81336997837646
Defender / Rotation 70-77,Spain / England,Spain,England,1.019917961106976,0.05273529144238253,629,1,0.38143374413183023,0.9989512236875082,0.8797837995932496,1.1823730419559233,1.9917961106975968,-12.02162004067504,18.23730419559233
Defender / Rotation 70-77,Spain / Germany,Spain,Germany,0.915839790402679,0.048722826631953785,629,1,-1.6525105385258925,0.5638972671953049,0.7866374127142572,1.0662631958867943,-8.416020959732096,-21.336258728574276,6.62631958867943
Defender / Rotation 70-77,Brazil / Argentina,Brazil,Argentina,1.3323252820980238,0.06529301352463303,629,1,5.854813671804804,1.1513544984076418e-7,1.1581669344633172,1.5326725401119639,33.23252820980238,15.816693446331719,53.267254011196385
Defender / Rotation 70-77,Brazil / France,Brazil,France,1.2185121303746014,0.06114892993641311,629,1,3.9381755623118684,0.0012770725922341963,1.0556750014398721,1.406466772297267,21.851213037460138,5.567500143987214,40.646677229726706
Defender / Rotation 70-77,Brazil / England,Brazil,England,1.2120993847947719,0.05992763264544957,629,1,3.8905595850794916,0.0015409344617240972,1.0523491891503047,1.3961002049197413,21.209938479477188,5.234918915030473,39.610020491974126
Defender / Rotation 70-77,Brazil / Germany,Brazil,Germany,1.08840993967085,0.05520049792255433,629,1,1.6704153882483679,0.5519606423457573,0.9415225704263219,1.2582132749487878,8.840993967084998,-5.8477429573678075,25.821327494878776
Defender / Rotation 70-77,Argentina / France,Argentina,France,0.9145755520422161,0.04952368162184966,629,1,-1.6490536070100184,0.566202031781652,0.7834229754204762,1.0676843373713778,-8.542444795778392,-21.657702457952375,6.76843373713778
Defender / Rotation 70-77,Argentina / England,Argentina,England,0.90976235389459,0.04904153978803989,629,1,-1.7543886508689328,0.4962606213097569,0.7798425826717101,1.0613264253001788,-9.023764610540997,-22.015741732828985,6.132642530017884
Defender / Rotation 70-77,Argentina / Germany,Argentina,Germany,0.8169250815063134,0.04503826740947594,629,1,-3.6677408956355984,0.0035991314245005235,0.6978140909307888,0.9563673154033343,-18.307491849368663,-30.218590906921115,-4.363268459666569
Defender / Rotation 70-77,France / England,France,England,0.994737232876083,0.053611188327533484,629,1,-0.09790669767023533,0.9999987395770376,0.8527094624683832,1.16042122906154,-0.5262767123917045,-14.729053753161681,16.04212290615401
Defender / Rotation 70-77,France / Germany,France,Germany,0.8932286454433944,0.04950949881966729,629,1,-2.0371211708392423,0.3224360006612158,0.7623467063272729,1.0465807832822507,-10.677135455660558,-23.765329367272713,4.658078328225068
Defender / Rotation 70-77,England / Germany,England,Germany,0.8979543701815635,0.04946370911254482,629,1,-1.9540030557791461,0.3702969892645095,0.7671311029558124,1.0510876795652666,-10.204562981843646,-23.286889704418755,5.108767956526661
Forward / Rotation 70-77,Spain / Brazil,Spain,Brazil,0.9461608245828828,0.0708688334128233,270,1,-0.7388736434369181,0.9768984695802563,0.7631256032664384,1.1730969346900588,-5.383917541711725,-23.68743967335616,17.309693469005882
Forward / Rotation 70-77,Spain / Argentina,Spain,Argentina,1.0840984240724525,0.07914840777748154,270,1,1.1060176262414343,0.8786330695402865,0.8791428670009351,1.3368354987462179,8.40984240724525,-12.085713299906487,33.68354987462179
Forward / Rotation 70-77,Spain / France,Spain,France,0.982942264743511,0.08462601902362703,270,1,-0.1998370944653394,0.9999557630861575,0.7677259084605388,1.2584901527636332,-1.7057735256489015,-23.22740915394612,25.849015276363318
Forward / Rotation 70-77,Spain / England,Spain,England,1.0392338827666792,0.09618793892552166,270,1,0.41578663061601007,0.9983991578962993,0.7967760134975306,1.3554713555563822,3.9233882766679162,-20.322398650246942,35.54713555563822
