position_group,ability_tier,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
Forward,Depth/Youth (<70),log_value,Argentina,England,91,226,15275.5,1.34e-11,1e-10,****
Forward,Depth/Youth (<70),log_value,Argentina,France,91,93,4375.5,0.691,0.691,ns
Forward,Depth/Youth (<70),log_value,Argentina,Germany,91,139,7788,0.003,0.006,**
Forward,Depth/Youth (<70),log_value,Argentina,Italy,91,62,3198,0.161,0.201,ns
Forward,Depth/Youth (<70),log_value,Argentina,Spain,91,93,3546.5,0.058,0.079,ns
Forward,Depth/Youth (<70),log_value,England,France,226,93,6084.5,3.38e-9,1.69e-8,****
Forward,Depth/Youth (<70),log_value,England,Germany,226,139,11018.5,1.66e-6,4.98e-6,****
Forward,Depth/Youth (<70),log_value,England,Italy,226,62,4682.5,6.32e-5,1.58e-4,***
Forward,Depth/Youth (<70),log_value,England,Spain,226,93,4260,6.85e-17,1.03e-15,****
Forward,Depth/Youth (<70),log_value,France,Germany,93,139,7542.5,0.031,0.052,ns
Forward,Depth/Youth (<70),log_value,France,Italy,93,62,3157.5,0.317,0.366,ns
Forward,Depth/Youth (<70),log_value,France,Spain,93,93,3580.5,0.043,0.064,ns
Forward,Depth/Youth (<70),log_value,Germany,Italy,139,62,4044.5,0.488,0.523,ns
Forward,Depth/Youth (<70),log_value,Germany,Spain,139,93,4036.5,1.26e-6,4.72e-6,****
Forward,Depth/Youth (<70),log_value,Italy,Spain,62,93,2094.5,0.004,0.007,**
Midfielder,Depth/Youth (<70),log_value,Argentina,England,204,415,62891.5,7.989999999999999e-23,3.99e-22,****
Midfielder,Depth/Youth (<70),log_value,Argentina,France,204,219,27346,6.67e-5,8.34e-5,****
Midfielder,Depth/Youth (<70),log_value,Argentina,Germany,204,349,48312.5,2.28e-12,4.89e-12,****
Midfielder,Depth/Youth (<70),log_value,Argentina,Spain,204,203,22730.5,0.088,0.088,ns
Midfielder,Depth/Youth (<70),log_value,Argentina,Republic of Ireland,204,153,26288.5,1.67e-28,2.5e-27,****
Midfielder,Depth/Youth (<70),log_value,England,France,415,219,32900.5,1.06e-8,1.77e-8,****
Midfielder,Depth/Youth (<70),log_value,England,Germany,415,349,59172,1.3e-5,1.77e-5,****
Midfielder,Depth/Youth (<70),log_value,England,Spain,415,203,24152,6.5e-18,1.95e-17,****
Midfielder,Depth/Youth (<70),log_value,England,Republic of Ireland,415,153,41932,4.33e-9,8.12e-9,****
Midfielder,Depth/Youth (<70),log_value,France,Germany,219,349,42562,0.022,0.024,*
Midfielder,Depth/Youth (<70),log_value,France,Spain,219,203,18984,0.01,0.011,*
Midfielder,Depth/Youth (<70),log_value,France,Republic of Ireland,219,153,25753,1.14e-18,4.28e-18,****
Midfielder,Depth/Youth (<70),log_value,Germany,Spain,349,203,25595,5.26e-8,7.89e-8,****
Midfielder,Depth/Youth (<70),log_value,Germany,Republic of Ireland,349,153,39436.5,1.64e-17,4.1e-17,****
Midfielder,Depth/Youth (<70),log_value,Spain,Republic of Ireland,203,153,25587,1.22e-25,9.15e-25,****
Midfielder,Regular (70-77),log_value,Argentina,England,124,86,4137.5,0.006,0.087,ns
Midfielder,Regular (70-77),log_value,Argentina,France,124,119,6488.5,0.105,0.295,ns
Midfielder,Regular (70-77),log_value,Argentina,Germany,124,74,4471.5,0.766,0.776,ns
Midfielder,Regular (70-77),log_value,Argentina,Spain,124,151,8037.5,0.044,0.164,ns
Midfielder,Regular (70-77),log_value,Argentina,Brazil,124,132,7725.5,0.439,0.549,ns
