cell,nationality,n
Midfield / Rotation 70-77,Spain,151
Midfield / Rotation 70-77,Brazil,132
Midfield / Rotation 70-77,Argentina,124
Midfield / Rotation 70-77,France,119
Midfield / Rotation 70-77,England,86
Midfield / Rotation 70-77,Germany,74
Defender / Rotation 70-77,Spain,115
Defender / Rotation 70-77,Brazil,144
Defender / Rotation 70-77,Argentina,99
Defender / Rotation 70-77,France,96
Defender / Rotation 70-77,England,96
Defender / Rotation 70-77,Germany,87
Forward / Rotation 70-77,Spain,58
Forward / Rotation 70-77,Brazil,59
Forward / Rotation 70-77,Argentina,61
Forward / Rotation 70-77,France,34
Forward / Rotation 70-77,England,27
Forward / Rotation 70-77,Germany,39
Midfield / Starter 78-84,Spain,41
Midfield / Starter 78-84,Brazil,24
Midfield / Starter 78-84,Argentina,19
Midfield / Starter 78-84,France,29
Midfield / Starter 78-84,England,20
Midfield / Starter 78-84,Germany,20
