position_group,ability_tier,n,position_pct
Forward,Depth/Youth (<70),2068,0.6965308184573931
Forward,Regular (70-77),746,0.2512630515325025
Forward,Starter (78-84),133,0.044796227686089596
Forward,Elite (85+),22,0.00740990232401482
Midfielder,Depth/Youth (<70),4682,0.7068236714975845
Midfielder,Regular (70-77),1604,0.24214975845410627
Midfielder,Starter (78-84),302,0.04559178743961353
Midfielder,Elite (85+),36,0.005434782608695652
Defender,Depth/Youth (<70),4248,0.721589943944284
Defender,Regular (70-77),1388,0.23577373874639035
Defender,Starter (78-84),234,0.039748598607100394
Defender,Elite (85+),17,0.002887718702225242
Goalkeeper,Depth/Youth (<70),1467,0.7538540596094553
Goalkeeper,Regular (70-77),376,0.1932168550873587
Goalkeeper,Starter (78-84),87,0.044707091469681395
Goalkeeper,Elite (85+),16,0.008221993833504625
