position_group,ability_tier,nationality,n,median_value_eur,median_overall
Forward,Depth/Youth (<70),England,226,525000,62
Forward,Depth/Youth (<70),Germany,139,750000,64
Forward,Depth/Youth (<70),France,93,950000,64
Forward,Depth/Youth (<70),Spain,93,1100000,65
Forward,Depth/Youth (<70),Argentina,91,900000,66
Forward,Depth/Youth (<70),Italy,62,850000,65
Forward,Depth/Youth (<70),Brazil,59,1100000,66
Forward,Depth/Youth (<70),China PR,51,160000,54
Forward,Regular (70-77),Argentina,61,2500000,72
Forward,Regular (70-77),Brazil,59,2800000,72
Forward,Regular (70-77),Spain,58,3250000,73
Forward,Regular (70-77),Germany,39,2700000,73
Forward,Regular (70-77),Italy,37,2100000,71
Forward,Regular (70-77),France,34,3600000,73
Forward,Regular (70-77),England,27,3100000,72
Forward,Regular (70-77),Portugal,21,2800000,72
Forward,Starter (78-84),Brazil,17,20500000,79
Forward,Starter (78-84),Spain,13,21500000,80
Forward,Starter (78-84),France,12,24250000,80.5
Forward,Starter (78-84),Argentina,8,19000000,79.5
Forward,Starter (78-84),England,8,24000000,79.5
Forward,Starter (78-84),Portugal,8,29000000,81.5
Forward,Starter (78-84),Italy,7,21500000,79
Forward,Starter (78-84),Mexico,6,25500000,81
Forward,Elite (85+),England,3,72500000,86
Forward,Elite (85+),Brazil,2,104250000,87.5
Forward,Elite (85+),France,2,127250000,91
Forward,Elite (85+),Portugal,2,58500000,87.5
Forward,Elite (85+),Spain,2,39500000,85
Forward,Elite (85+),Algeria,1,56500000,86
Forward,Elite (85+),Argentina,1,98500000,86
Forward,Elite (85+),Belgium,1,68000000,86
Midfielder,Depth/Youth (<70),England,415,650000,63
Midfielder,Depth/Youth (<70),Germany,349,825000,64
Midfielder,Depth/Youth (<70),France,219,925000,64
Midfielder,Depth/Youth (<70),Argentina,204,1300000,66
Midfielder,Depth/Youth (<70),Spain,203,1100000,65
Midfielder,Depth/Youth (<70),Republic of Ireland,153,350000,60
Midfielder,Depth/Youth (<70),China PR,152,220000,58
Midfielder,Depth/Youth (<70),Italy,126,975000,64.5
Midfielder,Regular (70-77),Spain,151,3600000,73
Midfielder,Regular (70-77),Brazil,132,3100000,73
Midfielder,Regular (70-77),Argentina,124,3150000,72
Midfielder,Regular (70-77),France,119,3500000,72
Midfielder,Regular (70-77),England,86,4200000,73
Midfielder,Regular (70-77),Germany,74,2600000,72
Midfielder,Regular (70-77),Italy,56,3050000,72
Midfielder,Regular (70-77),Portugal,52,3450000,73
Midfielder,Starter (78-84),Spain,41,22500000,79
Midfielder,Starter (78-84),France,29,25000000,79
Midfielder,Starter (78-84),Brazil,24,25750000,80.5
Midfielder,Starter (78-84),England,20,32250000,80.5
Midfielder,Starter (78-84),Germany,20,25500000,80
Midfielder,Starter (78-84),Argentina,19,19500000,79
Midfielder,Starter (78-84),Italy,16,30250000,80.5
Midfielder,Starter (78-84),Portugal,15,28500000,80
Midfielder,Elite (85+),Germany,7,63000000,87
Midfielder,Elite (85+),France,5,72000000,86
Midfielder,Elite (85+),Spain,5,55500000,86
Midfielder,Elite (85+),Italy,3,77500000,86
Midfielder,Elite (85+),Argentina,2,61750000,88.5
Midfielder,Elite (85+),Belgium,2,81000000,88
Midfielder,Elite (85+),Brazil,2,81500000,88
Midfielder,Elite (85+),Croatia,2,43500000,87
Defender,Depth/Youth (<70),England,422,575000,63
Defender,Depth/Youth (<70),Germany,284,725000,64
Defender,Depth/Youth (<70),France,195,775000,63
Defender,Depth/Youth (<70),Spain,191,950000,65
Defender,Depth/Youth (<70),Argentina,171,1100000,66
Defender,Depth/Youth (<70),China PR,169,210000,59
