Known As,Full Name,Overall,Potential,Value(in Euro),Positions Played,Best Position,Nationality,Image Link,Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Club Name,Wage(in Euro),Release Clause,Club Position,Contract Until,Club Jersey Number,Joined On,On Loan,Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,National Team Name,National Team Image Link,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Freekick Accuracy,LongPassing,BallControl,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,Goalkeeper Diving,Goalkeeper Handling,GoalkeeperKicking,Goalkeeper Positioning,Goalkeeper Reflexes,ST Rating,LW Rating,LF Rating,CF Rating,RF Rating,RW Rating,CAM Rating,LM Rating,CM Rating,RM Rating,LWB Rating,CDM Rating,RWB Rating,LB Rating,CB Rating,RB Rating,GK Rating,value_eur,wage_eur,overall,potential,total_stats,base_stats,age,height_cm,weight_kg,best_position,positions_played,nationality,preferred_foot,weak_foot_rating,pace_total,shooting_total,passing_total,dribbling_total,defending_total,physicality_total,position_group,log_value,log_wage,nationality_band,total_stats_z,age_z,pace_z,shooting_z,passing_z,dribbling_z,defending_z,physicality_z,fitted,residual,undervaluation,undervalue_rank,undervalued_flag,label
M. Scott,Matthew Scott,50,54,60000,"CM,CAM",CAM,Republic of Ireland,https://cdn.sofifa.net/players/267/820/23_60.png,19,175,67,1430,300,UCD AFC,500,98000,SUB,2022,31,2020,-,Right,3,2,1,-,-,-,-,Medium,Medium,61,43,51,47,43,55,43,41,44,55,44,44,41,45,55,45,61,61,57,51,66,46,56,66,51,44,49,40,50,51,45,51,40,45,47,9,7,12,13,6,50,49,49,49,49,49,52,52,52,52,51,51,51,51,48,51,16,60000,500,50,54,1430,300,19,175,67,CAM,"CM,CAM",Republic of Ireland,Right,3,61,43,51,47,43,55,Attack,4.77815848856469,2.699837725867246,Other,-0.6330920126183831,-1.3330412686094284,-0.6543253736724938,-0.7995589090744957,-0.7329059885023583,-1.7339293395512434,-0.4447282724089872,-1.0300384548288606,5.667623439590514,-0.8894649510258237,0.8894649510258237,0.006391599611938595,TRUE,M. Scott
A. Braithwaite,Aaron Braithwaite,50,56,60000,CDM,CAM,England,https://cdn.sofifa.net/players/269/592/23_60.png,18,177,73,1405,296,Grimsby Town,500,117000,RES,2023,34,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium,65,40,48,46,45,52,36,40,44,54,38,41,49,35,55,46,67,63,57,50,70,41,60,56,50,37,50,46,50,47,40,49,40,48,50,8,5,9,13,10,49,48,48,48,48,48,51,51,51,51,51,51,51,51,50,51,16,60000,500,50,56,1405,296,18,177,73,CAM,CDM,England,Right,3,65,40,48,46,45,52,Attack,4.77815848856469,2.699837725867246,England,-0.7242805547490997,-1.5447927818674496,-0.28015673773720984,-1.0196251417341977,-1.0414572087429668,-1.8410132390916747,-0.3228027528774657,-1.343342637607417,5.648805841645883,-0.8706473530811927,0.8706473530811927,0.006562803172972665,TRUE,A. Braithwaite
Vieirinha,Adelino André Vieira de Freitas,70,70,350000,"LB,RB,CB",CAM,Portugal,https://cdn.sofifa.net/players/177/553/23_60.png,36,172,73,2032,413,PAOK,500,770000,SUB,2023,20,2020,-,Right,4,4,2,-,https://cdn.sofifa.net/flags/pt.png,-,-,High,Medium,66,74,73,73,68,59,74,69,55,73,75,71,75,73,69,76,67,66,75,69,77,76,69,58,54,83,72,69,73,74,72,72,69,69,69,15,10,12,11,13,70,70,70,70,70,70,70,70,70,70,70,70,70,70,69,70,20,350000,500,70,70,2032,413,36,172,73,CAM,"LB,RB,CB",Portugal,Right,4,66,74,73,73,68,59,Attack,5.54406928518988,2.699837725867246,Other,1.5627280818892724,2.26673445677693,-0.18661457875338888,1.4744588284090925,1.529802959928771,1.0502520484999687,1.079340721735032,-0.6122995444574523,6.356801613653665,-0.8127323284637846,0.8127323284637846,0.00701934600239685,TRUE,Vieirinha
J. O'Doherty,Jordan O'Doherty,60,63,325000,"CM,CDM",CAM,Australia,https://cdn.sofifa.net/players/236/006/23_60.png,24,168,62,1777,376,SC East Bengal FC,500,463000,SUB,2022,24,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/au.png,-,-,Medium,Medium,75,56,56,66,58,65,50,54,55,60,50,65,56,46,58,61,74,76,82,60,79,58,79,65,58,59,79,59,60,58,54,57,57,60,55,10,7,14,9,10,62,62,61,61,61,62,63,63,62,63,62,62,62,62,63,62,17,325000,500,60,63,1777,376,24,168,62,CAM,"CM,CDM",Australia,Right,3,75,56,56,66,58,65,Attack,5.511884697267532,2.699837725867246,Other,0.6326049521559631,-0.274283702319323,0.6552648521009999,0.15406143245088,-0.2186539547680107,0.30066475171695006,0.4697131240774242,0.014308821099660172,6.284335551218524,-0.7724508539509918,0.7724508539509918,0.008160703075957313,TRUE,J. O'Doherty
A. Smrcka,Armand Smrcka,60,70,525000,"CM,CDM,LM",CAM,Austria,https://cdn.sofifa.net/players/270/916/23_60.png,19,177,72,1757,364,FK Austria Wien,2000,866000,RES,2025,43,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/at.png,-,-,Medium,Medium,65,61,59,61,59,59,52,59,55,63,51,60,64,66,62,62,67,64,67,55,71,66,65,59,57,63,62,59,52,56,67,45,58,62,57,9,14,11,14,8,61,59,60,60,60,59,62,61,62,61,61,62,61,61,61,61,18,525000,2000,60,70,1757,364,19,177,72,CAM,"CM,CDM,LM",Austria,Right,3,65,61,59,61,59,59,Attack,5.720160130632753,3.3012470886362113,Other,0.5596541184513899,-1.3330412686094284,-0.28015673773720984,0.5208384868837168,0.08989726547259785,-0.23475474598520613,0.530675883843185,-0.6122995444574523,6.464264600527466,-0.7441044698947126,0.7441044698947126,0.008560178051703475,TRUE,A. Smrcka
M. Defendi,Marino Defendi,63,63,150000,"CM,RB,LM",RM,Italy,https://cdn.sofifa.net/players/170/565/23_60.png,36,176,73,1825,379,Ternana,850,233000,SUB,2023,25,2016,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/it.png,-,-,High,Medium,74,57,63,67,55,63,59,50,58,66,50,65,68,61,65,64,78,71,78,63,75,64,86,74,58,64,58,54,65,59,62,69,52,59,55,13,8,6,10,7,63,63,63,63,63,63,63,63,63,63,63,63,63,63,60,63,17,150000,850,63,63,1825,379,36,176,73,RM,"CM,RB,LM",Italy,Right,3,74,57,63,67,55,63,Midfield,5.176094154342576,2.929929560084588,Italy,0.807686953046939,2.26673445677693,0.5617226931171789,0.22741684333744736,0.501298892460076,0.4077486512573813,0.2868248447801419,-0.194560634086044,5.917681388983179,-0.7415872346406029,0.7415872346406029,0.008731381612737545,TRUE,M. Defendi
S. Giovane,Samuel Giovane,59,73,525000,CM,CDM,Italy,https://cdn.sofifa.net/players/271/213/23_60.png,19,181,72,1706,362,Ascoli,500,1200000,RES,2024,32,2020,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,High,74,49,59,59,58,63,49,44,52,67,52,53,60,57,59,62,72,76,66,68,69,58,71,60,62,53,65,63,39,56,53,61,59,57,51,10,12,6,14,11,57,57,57,57,57,57,60,60,61,60,62,63,62,62,62,62,20,525000,500,59,73,1706,362,19,181,72,CDM,CM,Italy,Left,3,74,49,59,59,58,63,Midfield,5.720160130632753,2.699837725867246,Italy,0.37362949250472804,-1.3330412686094284,0.5617226931171789,-0.35942644375509153,0.08989726547259785,-0.4489225450660686,0.4697131240774242,-0.194560634086044,6.405193370065434,-0.6850332394326806,0.6850332394326806,0.011014095759858471,TRUE,S. Giovane
S. Tinubu,Sam Tinubu,50,63,100000,CDM,CDM,England,https://cdn.sofifa.net/players/264/783/23_60.png,17,182,71,1448,318,Stevenage,500,238000,SUB,2023,28,2021,-,Left,3,2,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium,69,43,45,53,49,59,42,41,55,52,33,49,39,34,31,54,67,70,63,52,62,48,61,58,63,43,48,47,44,49,44,50,47,51,49,9,6,11,13,13,52,51,51,51,51,51,52,53,50,53,54,51,54,54,54,54,17,100000,500,50,63,1448,318,17,182,71,CDM,CDM,England,Left,3,69,43,45,53,49,59,Midfield,5.000004342923105,2.699837725867246,England,-0.5674362622842672,-1.7565442951254706,0.09401189819807404,-0.7995589090744957,-1.3500084289835754,-1.091425942308656,-0.07895171381442265,-0.6122995444574523,5.6821493328266905,-0.6821449899035859,0.6821449899035859,0.011071163613536494,TRUE,S. Tinubu
G. Zusi,Graham Zusi,67,67,325000,RB,CM,United States,https://cdn.sofifa.net/players/190/557/23_60.png,35,178,73,1967,397,Sporting Kansas City,2000,471000,RB,2022,8,2009,-,Right,4,3,1,-,https://cdn.sofifa.net/flags/us.png,-,-,High,High,55,67,73,68,63,71,70,58,55,75,70,68,80,72,73,69,57,53,63,61,78,80,66,77,71,70,65,65,71,73,73,74,61,66,64,14,9,15,13,12,67,66,67,67,67,66,67,67,67,67,67,67,67,67,66,67,20,325000,2000,67,67,1967,397,35,178,73,CM,RB,United States,Right,4,55,67,73,68,63,71,Midfield,5.511884697267532,3.3012470886362113,United States,1.3256378723494093,2.054982943518909,-1.2155783275754197,0.9609709522031209,1.529802959928771,0.5148325507978125,0.774526922906228,0.6409171866567727,6.146528733468796,-0.634644036201264,0.634644036201264,0.013924556297437654,TRUE,G. Zusi
Jeong Hyuk,Hyuk Jeong,59,59,70000,"CM,CDM",CM,Korea Republic,https://cdn.sofifa.net/players/191/669/23_60.png,36,175,70,1717,343,Incheon United FC,750,88000,RES,2022,8,2021,-,Right,3,2,1,-,-,-,-,Medium,Medium,48,55,63,60,57,60,64,45,44,60,48,57,71,70,59,60,40,55,66,58,70,66,72,51,61,66,68,60,58,65,57,59,62,56,54,9,15,14,8,8,57,57,57,57,57,57,59,59,59,59,59,59,59,58,59,58,17,70000,750,59,59,1717,343,36,175,70,CM,"CM,CDM",Korea Republic,Right,3,48,55,63,60,57,60,Midfield,4.8451042441768255,2.8756399370041685,Other,0.41375245104224334,2.26673445677693,-1.8703734404621664,0.08070602156431264,0.501298892460076,-0.34183864552563736,0.40875036431166345,-0.5078648168646002,5.472250731488963,-0.6271464873121371,0.6271464873121371,0.014324031273183815,TRUE,Jeong Hyuk
