Known As,Full Name,best_position,position_group,nationality,age,overall,total_stats,value_eur,fitted,residual,undervaluation
B. Hinchliffe,Ben Hinchliffe,GK,GK,England,34,60,1206,40000,5.715011894774718,-1.1129410462204223,1.1129410462204223
Han Feng,Feng Han,GK,GK,China PR,38,56,1195,15000,5.286781890510163,-1.1106616794540773,1.1106616794540773
J. Lillis,Josh Lillis,GK,GK,England,35,57,1098,20000,5.40617039676327,-1.1051186869180434,1.1051186869180434
K. Vermeer,Kenneth Vermeer,GK,GK,Netherlands,36,64,1253,60000,5.870665668309805,-1.0925071797451142,1.0925071797451142
L. Healy,Lorcan Healy,GK,GK,Republic of Ireland,22,55,1203,150000,6.26011409695467,-1.0840199426120938,1.0840199426120938
B. Clarke,Brendan Clarke,GK,GK,Republic of Ireland,36,60,1144,25000,5.476148436235962,-1.0781910561320744,1.0781910561320744
M. Debuchy,Mathieu Debuchy,CB,Defense,France,36,70,1947,275000,6.474889816127033,-1.0355555430469803,1.0355555430469803
S. Loach,Scott Loach,GK,GK,England,34,60,1171,40000,5.62974449222795,-1.027673643673654,1.027673643673654
Júnior Morais,Iraneuton Sousa Morais Júnior,LB,Defense,Brazil,35,67,1904,325000,6.5140365120662125,-1.0021518147986805,1.0021518147986805
R. Brush,Richard Brush,GK,GK,England,37,55,1038,15000,5.168536394948828,-0.9924161838927423,0.9924161838927423
Kim Chang Soo,Chang Soo Kim,RB,Defense,Korea Republic,36,59,1672,50000,5.638537242409425,-0.9395585522706265,0.9395585522706265
R. Koczor,Raphael Koczor,GK,GK,Germany,33,61,1237,110000,5.942349283356856,-0.9009526500849239,0.9009526500849239
Cho Soo Hyuk,Soo Hyuk Cho,GK,GK,Korea Republic,35,60,1050,25000,5.292875210977489,-0.8949178308736014,0.8949178308736014
Kim Keun Bae,Keun Bae Kim,GK,GK,Korea Republic,35,58,1048,25000,5.288002787974817,-0.8900454078709288,0.8900454078709288
M. Scott,Matthew Scott,CAM,Attack,Republic of Ireland,19,50,1430,60000,5.667623439590514,-0.8894649510258237,0.8894649510258237
I. Latovlevici,Iasmin Latovlevici,LB,Defense,Romania,36,66,1886,190000,6.159886503695381,-0.8811306169881359,0.8811306169881359
S. Flinders,Scott Flinders,GK,GK,England,36,61,1124,35000,5.423781239930879,-0.8797007873440936,0.8797007873440936
A. Braithwaite,Aaron Braithwaite,CAM,Attack,England,18,50,1405,60000,5.648805841645883,-0.8706473530811927,0.8706473530811927
M. Al Furayj,Muslim Al Furayj,GK,GK,Saudi Arabia,34,60,1099,40000,5.457980230410099,-0.8559093818558035,0.8559093818558035
S. Brown,Scott Brown,GK,GK,England,37,58,1073,25000,5.253803797495597,-0.8558464173917093,0.8558464173917093
C. Fuchs,Christian Fuchs,CB,Defense,Austria,36,71,1969,325000,6.362092058306289,-0.8502073610387573,0.8502073610387573
R. Ruiter,Robbin Ruiter,GK,GK,Netherlands,35,64,1131,60000,5.619178521013917,-0.8410200324492267,0.8410200324492267
Álvaro Lemos,Álvaro Lemos Collazo,RB,Defense,Spain,29,70,2009,1400000,6.965790537043869,-0.8196621911553974,0.8196621911553974
Luisinho Conradi,Luisinho Lúcio Conradi Andrade,LB,Defense,Brazil,22,71,1908,2000000,7.118279884344292,-0.8172496715331246,0.8172496715331246
P. Cherrie,Peter Cherrie,GK,GK,Scotland,38,56,982,15000,4.990020861285224,-0.8139006502291384,0.8139006502291384
Vieirinha,Adelino André Vieira de Freitas,CAM,Attack,Portugal,36,70,2032,350000,6.356801613653665,-0.8127323284637846,0.8127323284637846
M. Pinto,Miguel Pinto,GK,GK,Chile,38,65,1279,80000,5.713575677182089,-0.8104802615430504,0.8104802615430504
A. Meijers,Aaron Meijers,LB,Defense,Netherlands,34,66,1862,325000,6.321848917825771,-0.8099642205582391,0.8099642205582391
A. Jaakkola,Anssi Jaakkola,GK,GK,Finland,35,63,1135,50000,5.4999531885910695,-0.8009744984522706,0.8009744984522706
Peter Abradanel,Peter Nivaldo Abradanel Espín,GK,GK,Brazil,38,64,1115,60000,5.578604536442589,-0.800446047877899,0.800446047877899
