best_position,n,zero_value_n,median_value,median_log_value,q25_log_value,q75_log_value
CF,69,2,1700000,6.230449176845541,5.860338605597452,6.875061321297627
LW,204,2,1500000,6.176091548585239,5.896083358007436,6.419071117507535
CM,1050,5,1400000,6.146128345888472,5.845098660434502,6.491361833929244
RW,288,4,1300000,6.113943686379387,5.829304416229781,6.380211422667602
CAM,2169,8,1200000,6.079181607959542,5.740363479119857,6.397940182389796
RWB,398,5,1200000,6.079181607959542,5.740363479119857,6.36172802484124
CDM,1332,5,1100000,6.041393079971211,5.740363479119857,6.342422878228744
LM,735,0,1100000,6.041393079971211,5.740363479119857,6.342422878228744
LWB,379,3,1100000,6.041393079971211,5.7596685999837245,6.322219501540766
RM,1362,6,1000000,6.0000004342942646,5.720160130632753,6.255272746377951
ST,2430,14,1000000,6.0000004342942646,5.720160130632753,6.301030212811168
RB,868,3,975000,5.989005061128546,5.698970872924114,6.261143017165667
CB,3461,19,925000,5.966142202246327,5.676694523928076,6.278753829528812
LB,814,3,925000,5.966142202246327,5.698970872924114,6.230449176845541
GK,1965,19,525000,5.720160130632753,5.397941745846491,6.079181607959542
