best_position,skill,mean_score
CAM,Defending,45.17565698478562
CAM,Dribbling,68.34347625633933
CAM,Pace,70.1466113416321
CAM,Passing,63.322268326417706
CAM,Physicality,56.85108344859382
CAM,Shooting,59.83356385431074
CB,Defending,65.82692863334296
CB,Dribbling,52.61889627275354
CB,Pace,59.72464605605317
CB,Passing,49.88904940768564
CB,Physicality,71.44871424443802
CB,Shooting,37.20745449292112
CDM,Defending,64.67492492492492
CDM,Dribbling,63.77252252252252
CDM,Pace,61.3993993993994
CDM,Passing,62.19144144144144
CDM,Physicality,70.49549549549549
CDM,Shooting,52.809309309309306
CF,Defending,37.82608695652174
CF,Dribbling,72.98550724637681
CF,Pace,73.78260869565217
CF,Passing,65.71014492753623
CF,Physicality,63.68115942028985
CF,Shooting,70.43478260869566
CM,Defending,61.65238095238095
CM,Dribbling,68.02190476190476
CM,Pace,63.52857142857143
CM,Passing,66.92476190476191
CM,Physicality,67.01714285714286
CM,Shooting,59.56095238095238
GK,Defending,36.05496183206107
GK,Dribbling,66.07226463104325
GK,Pace,65.07735368956743
GK,Passing,62.03969465648855
GK,Physicality,63.31145038167939
GK,Shooting,62.94452926208651
LB,Defending,61.91646191646192
LB,Dribbling,62.567567567567565
LB,Pace,72.92260442260442
LB,Passing,57.565110565110565
LB,Physicality,65.12039312039312
LB,Shooting,45.32063882063882
LM,Defending,42.34013605442177
LM,Dribbling,67.76190476190476
LM,Pace,77.20816326530613
LM,Passing,61.31156462585034
LM,Physicality,58.87210884353742
LM,Shooting,59.25578231292517
LW,Defending,36.161764705882355
LW,Dribbling,71.95588235294117
LW,Pace,79.62254901960785
LW,Passing,62.76470588235294
LW,Physicality,56.779411764705884
LW,Shooting,65.12745098039215
LWB,Defending,60.89973614775725
LWB,Dribbling,64.12664907651715
LWB,Pace,74.48548812664907
LWB,Passing,58.794195250659634
LWB,Physicality,65.17678100263852
LWB,Shooting,46.95778364116095
RB,Defending,61.85829493087557
RB,Dribbling,62.14170506912443
RB,Pace,73.22465437788019
RB,Passing,56.806451612903224
RB,Physicality,65.66129032258064
RB,Shooting,44.37557603686636
RM,Defending,41.65271659324523
RM,Dribbling,66.52643171806167
RM,Pace,77.15712187958884
RM,Passing,59.784875183553595
RM,Physicality,58.57415565345081
RM,Shooting,57.593979441997064
RW,Defending,37.177083333333336
RW,Dribbling,70.80555555555556
RW,Pace,79.63888888888889
RW,Passing,62.697916666666664
RW,Physicality,58.611111111111114
RW,Shooting,64.52777777777777
RWB,Defending,61.15075376884422
RWB,Dribbling,64.18341708542714
RWB,Pace,75.02763819095478
RWB,Passing,58.65829145728643
RWB,Physicality,66.23366834170854
RWB,Shooting,46.630653266331656
ST,Defending,30.35843621399177
ST,Dribbling,64.02921810699588
ST,Pace,69.63292181069959
ST,Passing,53.45185185185185
ST,Physicality,66.01604938271605
ST,Shooting,65.40246913580246
