position_group,skill,mean_score
Attack,Defending,37.29670542635659
Attack,Dribbling,66.65406976744185
Attack,Pace,70.8577519379845
Attack,Passing,58.64903100775194
Attack,Physicality,61.35387596899225
Attack,Shooting,63.069186046511625
Midfield,Defending,54.44292237442922
Midfield,Dribbling,65.94958143074581
Midfield,Pace,70.09436834094369
Midfield,Passing,61.87785388127854
Midfield,Physicality,64.37975646879757
Midfield,Shooting,55.40962709284627
Defense,Defending,64.53820727202022
Defense,Dribbling,55.8006999805561
Defense,Pace,64.09196966750923
Defense,Passing,52.27143690453043
Defense,Physicality,69.47034804588762
Defense,Shooting,39.70134162939918
GK,Defending,36.05496183206107
GK,Dribbling,66.07226463104325
GK,Pace,65.07735368956743
GK,Passing,62.03969465648855
GK,Physicality,63.31145038167939
GK,Shooting,62.94452926208651
