term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),5.711359767445762,0.005875128703857541,972.1250470131403,0,5.699843925542753,5.722875609348771
position_groupMidfield,0.17257748949334878,0.005851853486210166,29.491081740174444,1.4241419191254396e-186,0.16110726935289124,0.18404770963380632
position_groupDefense,-0.39725914686753555,0.009424580178355171,-42.1513891706174,0,-0.41573226989289286,-0.37878602384217824
position_groupGK,-0.2682073391484712,0.030432979658935804,-8.813048940796683,1.330771402067128e-18,-0.3278590336142754,-0.20855564468266705
pace_z,0.012742192029081055,0.0035061443919223115,3.6342462274050558,2.7959759037243114e-4,0.005869797134993446,0.019614586923168663
shooting_z,0.4420853712755114,0.008020986835793779,55.11608238810448,0,0.4263634320699128,0.45780731048111
passing_z,0.11301229724742638,0.006142170643806643,18.39940695255357,6.816593756010769e-75,0.10097302634108235,0.12505156815377041
dribbling_z,0.34277231455035756,0.007494096524498524,45.73897779803344,0,0.32808313323500216,0.35746149586571296
defending_z,0.014222576980271063,0.005728737195310823,2.482672270585698,0.013049456471878678,0.002993677126252663,0.025451476834289465
physicality_z,0.09722121266965024,0.0032975999154122183,29.482416049097043,1.8170392733427962e-186,0.09075758587959737,0.10368483945970311
age_z,-0.22586603397581936,0.0016733539592056687,-134.9780378103845,0,-0.22914597567808942,-0.2225860922735493
total_stats_z,-0.09891413787342139,0.011619084731938723,-8.513074838117381,1.830000184344715e-17,-0.12168871007008074,-0.07613956567676204
position_groupMidfield:pace_z,0.03244150658923538,0.004514486731808482,7.186089696677316,6.937460866057212e-13,0.02359265950906803,0.04129035366940273
position_groupDefense:pace_z,0.06513302343137581,0.004303809645807304,15.133806741389519,2.0597112171948585e-51,0.05669712458388006,0.07356892227887156
position_groupGK:pace_z,0.22300059133085368,0.01647535331071112,13.535405713325389,1.5685131425634742e-41,0.19070724533184802,0.25529393732985933
position_groupMidfield:shooting_z,-0.4101834153224762,0.009129815787338668,-44.92789612374471,0,-0.4280787705581076,-0.3922880600868448
position_groupDefense:shooting_z,-0.4162273870717286,0.008742765618587644,-47.60820605630834,0,-0.4333640851312299,-0.39909068901222733
position_groupGK:shooting_z,-0.16670980847524908,0.020619409745810707,-8.085091209224352,6.616480727069373e-16,-0.2071259209955088,-0.12629369595498935
position_groupMidfield:passing_z,0.1602097886386235,0.009204392523321262,17.40579709445228,2.7704586076339333e-67,0.14216825551574783,0.1782513217614992
position_groupDefense:passing_z,-0.026004157368630217,0.008181960549709837,-3.178230597744989,0.0014843612744192198,-0.04204162120925178,-0.009966693528008656
position_groupGK:passing_z,-0.05727201643453468,0.010637214502497806,-5.3841178459911845,7.374487498729636e-8,-0.07812202443839797,-0.03642200843067139
position_groupMidfield:dribbling_z,0.05142229404618313,0.010129022577765748,5.076728149373502,3.8795199110504087e-7,0.03156839321827967,0.07127619487408658
position_groupDefense:dribbling_z,-0.26690343101274866,0.009024114104505125,-29.57669062268417,1.278591871090935e-187,-0.28459160034152603,-0.2492152616839713
position_groupGK:dribbling_z,-0.08149014783135596,0.014835713828050823,-5.49283632562913,4.010744397100878e-8,-0.11056963588579447,-0.052410659776917445
position_groupMidfield:defending_z,0.08899164453204352,0.00664040721053447,13.401534229838413,9.433759321626527e-41,0.07597577995057399,0.10200750911351304
position_groupDefense:defending_z,0.9619770317952142,0.009382869946511928,102.52481780937698,0,0.9435856650104189,0.9803683985800096
position_groupGK:defending_z,0.012095537502489394,0.008463100694930224,1.4292087425753024,0.15296220199516591,-0.0044929892387323075,0.028684064243711095
position_groupMidfield:physicality_z,0.008400240799970789,0.004662030399076889,1.8018417043428308,0.07158762018867146,-7.378066759151248e-4,0.017538288275856705
position_groupDefense:physicality_z,-0.014490766137734735,0.00495237114658868,-2.926025879081447,0.0034376624136792846,-0.024197910618108713,-0.004783621657360758
position_groupGK:physicality_z,-0.00571478086665556,0.012131289509775793,-0.47107777471227613,0.6375911029355248,-0.029493325834101115,0.018063764100789997
