Known As,Full Name,best_position,age,overall,total_stats,value_eur,fitted,residual,std_resid,leverage,cooks
A. Vega,Alexis Vega,CAM,24,77,1944,0,7.124596974483555,-7.124596974483452,-15.067258353777387,0.005671496669687079,0.012101870039309561
C. Montes,César Montes,CB,25,77,1821,0,6.961073212537301,-6.961073212537008,-14.689920419737781,0.0014006670303508442,0.002828777200215281
J. Denayer,Jason Denayer,CB,27,77,1832,0,6.8769516283683085,-6.87695162836801,-14.515616295106724,0.0018432801050301505,0.003636468100117529
E. Atuesta,Eduard Atuesta,CM,25,75,1976,0,6.815665481858424,-6.815665481858454,-14.42159166332553,0.0067286722644959345,0.013167523074272745
A. Afif,Akram Afif,RM,25,76,1837,0,6.7944916583035395,-6.794491658303486,-14.378838313497358,0.0070117853751794045,0.013644208360831417
C. Rodríguez,Carlos Rodríguez,CAM,25,76,1991,0,6.790285524503821,-6.7902855245037195,-14.339178686408287,0.002747177661436134,0.005293540595980987
H. Martín,Henry Martín,ST,29,76,1915,0,6.680281308456192,-6.680281308456178,-14.102118949378996,0.002073604556666756,0.00386200114317172
U. Antuna,Uriel Antuna,RM,24,75,1783,0,6.671511873454403,-6.671511873454341,-14.11698315139995,0.006786786467346295,0.012726873035968395
D. Lovren,Dejan Lovren,CB,32,78,1714,0,6.641252038538856,-6.641252038538566,-14.018572217456557,0.0019090613083622115,0.003512962806937604
J. Gallardo,Jesús Gallardo,LB,27,75,2012,0,6.6341244849772,-6.634124484977034,-14.044911332134257,0.007782267343116419,0.014459503724712615
A. Cicâldău,Alexandru Cicâldău,CAM,24,72,2000,0,6.614911289944882,-6.6149112899447875,-13.967739199096261,0.0025903428823641655,0.00473535064781566
L. Romo,Luis Romo,CM,27,76,2031,0,6.516042254543242,-6.5160422545432635,-13.800981877956024,0.008653294836170309,0.015537893032868772
R. Kent,Roy Kent,CDM,40,83,2114,0,6.508564352467223,-6.50856435246711,-13.764055813168843,0.0056132899887137945,0.009994733992199929
J. Nilsson,Joakim Nilsson,CB,28,74,1608,0,6.499941210075063,-6.499941210074772,-13.716053434456276,0.0012925825997155865,0.002275592998856849
