Known As,Full Name,best_position,age,overall,total_stats,value_eur,fitted,residual,std_resid,leverage,cooks
A. Vega,Alexis Vega,CAM,24,77,1944,0,6.903694204980045,-6.903694204980022,-13.326230208940224,0.0014700127839771568,0.011367024249713
J. Denayer,Jason Denayer,CB,27,77,1832,0,6.8925653940346265,-6.892565394034557,-13.299811320489104,7.285654060081906e-4,0.005607227758952742
J. Gallardo,Jesús Gallardo,LB,27,75,2012,0,6.850720482757929,-6.850720482757776,-13.22521765312781,0.0016576784431297654,0.0126269548640024
C. Montes,César Montes,CB,25,77,1821,0,6.8477297253420994,-6.84772972534203,-13.212469769766866,6.034401768095156e-4,0.004582859564422369
C. Rodríguez,Carlos Rodríguez,CAM,25,76,1991,0,6.796050223711888,-6.796050223711865,-13.113969837235075,7.884613562926282e-4,0.005900156034556967
E. Atuesta,Eduard Atuesta,CM,25,75,1976,0,6.715502179183837,-6.715502179183734,-12.961710366917993,0.0012771067172580837,0.009340690316599246
B. Al Rawi,Bassam Al Rawi,CB,24,68,1820,0,6.688499845483023,-6.688499845482956,-12.906236353788968,7.575939349689756e-4,0.005490817700484837
H. Martín,Henry Martín,ST,29,76,1915,0,6.6555304744102886,-6.655530474410104,-12.84242316628519,7.272546182968663e-4,0.005218774859699354
A. Cicâldău,Alexandru Cicâldău,CAM,24,72,2000,0,6.654707320819547,-6.654707320819526,-12.842074027160875,9.200966995338763e-4,0.006603523866208388
M. Waad,Mohammed Waad,CB,22,65,1769,0,6.653744487370884,-6.653744487370814,-12.839912910220455,8.729325572017482e-4,0.006262623261897048
L. Romo,Luis Romo,CM,27,76,2031,0,6.586894374142029,-6.586894374141926,-12.71374911803553,0.0013190491115155352,0.009282258054242168
J. Brabec,Jakub Brabec,CB,29,74,1826,0,6.551987759199724,-6.551987759199655,-12.640988490711791,4.6794867109384514e-4,0.0032526379827922417
L. Kleinheisler,László Kleinheisler,CAM,28,71,1973,0,6.54313617193395,-6.543136171933926,-12.626427128913562,8.663035770717446e-4,0.006010071224782598
A. Ayew,André Ayew,CF,32,75,2053,0,6.52781467355851,-6.527814673558208,-12.68578795422578,0.014825008630821554,0.10529036608339029
T. Vaclík,Tomáš Vaclík,GK,33,80,1309,0,6.519654916358594,-6.519654916358465,-12.583124273011974,0.001185384029006495,0.008170023735482783
A. Afif,Akram Afif,RM,25,76,1837,0,6.445143050339453,-6.44514305033927,-12.439615549528593,0.0012337764880492816,0.008311104135029852
U. Antuna,Uriel Antuna,RM,24,75,1783,0,6.388742171009087,-6.388742171008906,-12.331405543124927,0.0013387373516534154,0.008862872500655072
G. Ochoa,Guillermo Ochoa,GK,36,80,1265,0,6.379062742738366,-6.379062742738234,-12.316891367917643,0.0020146469631718953,0.013315245318269947
I. Danlad,Ibrahim Danlad,GK,19,68,1021,0,6.362835897012087,-6.362835897011954,-12.28182863372583,0.0014081432323100385,0.00924819637542403
R. Kent,Roy Kent,CDM,40,83,2114,0,6.3376100207629245,-6.33761002076275,-12.232494954961423,0.0013033919634273105,0.008490704346144448
Y. Attiat-Allah,Yahya Attiat-Allah,LB,27,70,1855,0,6.335623721333813,-6.33562372133366,-12.228968982385224,0.0013536766009639744,0.008813635087916574
D. Lovren,Dejan Lovren,CB,32,78,1714,0,6.2915040375533,-6.2915040375532305,-12.139815983393607,6.965336990901995e-4,0.004466230267843541
D. Riznyk,Dmytro Riznyk,GK,23,68,1137,0,6.27102062356153,-6.271020623561397,-12.102374955161878,0.0010404757398994884,0.0066328081960825855
M. Duke,Mitchell Duke,ST,31,67,1832,0,6.270989633678029,-6.270989633677844,-12.10195612597234,9.812036833162256e-4,0.006254157623916392
Z. Ibrahimović,Zlatan Ibrahimović,ST,40,82,1967,0,6.255444404430078,-6.255444404429893,-12.074759517293343,0.0014449803574402588,0.009173162529324829
