best_position,skill,estimate,conf.low,conf.high
GK,Pace,0.1856610434120022,0.09729880451287935,0.27402328231112505
CAM,Pace,0.0533684629444057,0.016979471949744716,0.08975745393906667
CB,Pace,0.016727990130774584,-0.0026683275424144136,0.036124307803963585
CDM,Pace,-0.020913855381582885,-0.05452519973858443,0.012697488975418662
CF,Pace,-0.056156087956747286,-0.29252542545233473,0.18021324953884013
CM,Pace,0.03012534168054684,-0.012186368107312051,0.07243705146840573
LB,Pace,0.07689289134123589,0.0173606681969328,0.13642511448553898
LM,Pace,0.10671817868029063,0.04237809878265454,0.17105825857792673
LW,Pace,0.19783172631262258,0.0622256480879943,0.33343780453725086
LWB,Pace,0.021014580008457573,-0.06946669302162278,0.11149585303853793
RB,Pace,0.11880962383058809,0.0613796754151285,0.17623957224604767
RM,Pace,0.09091618746149661,0.043733459847293314,0.1380989150756999
RW,Pace,0.14283270212299135,0.04289188187448349,0.24277352237149918
RWB,Pace,0.05480248313212585,-0.03408139479744528,0.14368636106169697
ST,Pace,0.04374682923032161,0.018176189157084684,0.06931746930355853
GK,Shooting,0.29767202900637424,0.192827746467238,0.4025163115455105
CAM,Shooting,0.19144305893960453,0.12640801904600454,0.2564780988332045
CB,Shooting,-0.046268684523352366,-0.08479842242657347,-0.007738946620131262
CDM,Shooting,0.01169834977685047,-0.050656031376229135,0.07405273092993007
CF,Shooting,0.0238738626099797,-0.5887898071949537,0.6365375324149131
CM,Shooting,0.1543209384606454,0.06752946996288885,0.24111240695840197
LB,Shooting,-0.03788725357756745,-0.10816454864884562,0.03239004149371072
LM,Shooting,0.19029040744168305,0.0849292970831934,0.2956515178001727
LW,Shooting,0.44204241117166465,0.15681158989698496,0.7272732324463443
LWB,Shooting,-0.01592991254725934,-0.11609031764193094,0.08423049254741226
RB,Shooting,-0.031524495056630464,-0.09821141224778264,0.03516242213452171
RM,Shooting,0.13712434996437273,0.058327576910896226,0.21592112301784921
RW,Shooting,0.3501973656936783,0.12611552252773506,0.5742792088596216
RWB,Shooting,0.022248819951676935,-0.06706695400190635,0.11156459390526022
ST,Shooting,0.6453784800256143,0.5627324199865524,0.7280245400646761
GK,Passing,0.12431038100225285,0.07424095258580549,0.1743798094187002
CAM,Passing,0.27926988712536216,0.21555303315396113,0.3429867410967632
CB,Passing,0.06481647677234557,0.023359256831428026,0.10627369671326312
CDM,Passing,0.17621770063166192,0.0878473496175713,0.26458805164575255
CF,Passing,-0.021331670461266425,-0.31504717230260393,0.27238383138007105
CM,Passing,0.26622054512081933,0.16438835990953393,0.3680527303321047
LB,Passing,0.21637294149030087,0.12790626216858922,0.30483962081201255
LM,Passing,0.32481469294717746,0.21341054231053747,0.43621884358381746
LW,Passing,0.2418939747162976,0.048192174957255224,0.4355957744753399
LWB,Passing,0.13625248354547592,-0.017838728706034562,0.2903436957969864
RB,Passing,0.12131139203630559,0.03178963197782343,0.21083315209478776
RM,Passing,0.31229336717246786,0.23364024570161682,0.39094648864331893
RW,Passing,0.17925458874346342,0.025264778983215247,0.33324439850371157
RWB,Passing,0.15444446464282235,0.006327394730702346,0.3025615345549424
ST,Passing,0.04057587254464945,-0.006832655873193462,0.08798440096249235
GK,Dribbling,0.20169359931189174,0.1313580652122789,0.2720291334115046
CAM,Dribbling,0.3698433075011415,0.30637361581487976,0.4333129991874033
CB,Dribbling,0.042454296387299806,0.006825170607429758,0.07808342216716985
CDM,Dribbling,0.1851000422299777,0.10277890117000112,0.2674211832899543
CF,Dribbling,0.8067344088520492,0.44380614709209615,1.1696626706120021
CM,Dribbling,0.36197496565985693,0.26258148181426194,0.4613684495054519
LB,Dribbling,0.049474474756007025,-0.04755707822317684,0.1465060277351909
LM,Dribbling,0.29524703094007243,0.18950687868938865,0.4009871831907562
LW,Dribbling,0.23597782428083736,0.034153814176414166,0.43780183438526055
LWB,Dribbling,0.31326066373211814,0.1454783075048105,0.4810430199594258
RB,Dribbling,0.13495880533527266,0.04385836793621793,0.22605924273432737
RM,Dribbling,0.29139627505076565,0.2105946912408178,0.3721978588607135
RW,Dribbling,0.36274376721434265,0.18676046037837807,0.5387270740503072
RWB,Dribbling,0.30983805493923894,0.15075558569896758,0.4689205241795103
ST,Dribbling,0.20723857171853832,0.1432775679951202,0.27119957544195644
GK,Defending,0.0019611828450748336,-0.04350975122221064,0.04743211691236031
CAM,Defending,0.009480585463458344,-0.03135436664715974,0.05031553757407643
CB,Defending,0.999258881654717,0.9414506103255882,1.0570671529838458
CDM,Defending,0.7082555151147829,0.5792201919130988,0.837290838316467
