position_group,term,estimate,std.error,conf.low,conf.high,skill
Attack,pace_z,0.012742192029081055,0.007012288783844623,-0.0010025977590941634,0.026486981817256273,Pace
Midfield,pace_z,0.045183698618316434,0.0033811109880448414,0.03855638174451161,0.051811015492121255,Pace
Defense,pace_z,0.07787521546045686,0.0031561990921406785,0.07168874847537664,0.08406168244553709,Pace
GK,pace_z,0.23574278335993473,0.016148205340437895,0.20409068021609972,0.26739488650376975,Pace
Attack,shooting_z,0.4420853712755114,0.016041973671587557,0.4106414928643142,0.4735292496867086,Shooting
Midfield,shooting_z,0.03190195595303519,0.006336430373196331,0.019481916480667386,0.044321995425402994,Shooting
Defense,shooting_z,0.02585798420378277,0.005962512961003839,0.014170860386652214,0.03754510802091332,Shooting
GK,shooting_z,0.2753755628002623,0.019201506763605734,0.23773868242961593,0.3130124431709087,Shooting
Attack,passing_z,0.11301229724742638,0.012284341287613286,0.08893375543473832,0.13709083906011446,Passing
Midfield,passing_z,0.2732220858860499,0.007837637116708424,0.2578595305313211,0.2885846412407787,Passing
Defense,passing_z,0.08700813987879616,0.006460580861933773,0.07434475298843173,0.09967152676916059,Passing
GK,passing_z,0.0557402808128917,0.009190636355730931,0.03772571115909841,0.07375485046668499,Passing
Attack,dribbling_z,0.34277231455035756,0.014988193048997048,0.31339395191964675,0.37215067718106837,Dribbling
Midfield,dribbling_z,0.3941946085965407,0.007240463881834959,0.3800025727160484,0.408386644477033,Dribbling
Defense,dribbling_z,0.0758688835376089,0.005545010605085474,0.06500010623971847,0.08673766083549933,Dribbling
GK,dribbling_z,0.2612821667190016,0.012896419821730046,0.23600388954962495,0.2865604438883783,Dribbling
Attack,defending_z,0.014222576980271063,0.011457474390621647,-0.008235222727765737,0.03668037668830786,Defending
Midfield,defending_z,0.10321422151231457,0.005846854421410768,0.09175380004058323,0.11467464298404592,Defending
Defense,defending_z,0.9761996087754853,0.008761919237992693,0.9590253676996422,0.9933738498513284,Defending
GK,defending_z,0.026318114482760457,0.008311365938616144,0.010027003092415613,0.0426092258731053,Defending
Attack,physicality_z,0.09722121266965024,0.0065951998308244365,0.08429395908954451,0.11014846624975597,Physicality
Midfield,physicality_z,0.10562145346962103,0.003764270938040407,0.0982431046388794,0.11299980230036265,Physicality
Defense,physicality_z,0.0827304465319155,0.0040425639656066804,0.07480661543692005,0.09065427762691095,Physicality
GK,physicality_z,0.09150643180299468,0.011780718514699808,0.06841504117012988,0.11459782243585949,Physicality
