term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),5.890280746145223,0.008359426519067296,704.6273727880596,0,5.873895432241371,5.906666060049075
total_stats_z,0.7051544676806201,0.004347867999194797,162.1839641431642,0,0.6966322105835785,0.7136767247776616
age_z,-0.2003875195642,0.0028217678505243335,-71.01488505759413,0,-0.20591846739766417,-0.19485657173073584
preferred_footLeft,0.014336325277393149,0.011082419736137016,1.2936096645614275,0.19581744245204472,-0.007386328277447543,0.03605897883223384
position_groupMidfield,-0.13682500730679012,0.007409928788372194,-18.46509072010228,2.0686026260265978e-75,-0.15134921048337513,-0.12230080413020511
position_groupDefense,0.19787909012951466,0.007822637500190908,25.29569983585274,1.1264449812558439e-138,0.1825459365089513,0.21321224375007802
position_groupGK,1.3872104515833903,0.013986623706425068,99.18122348184318,0,1.3597952671371731,1.4146256360296074
weak_foot_rating.L,0.10993095416189483,0.021331103698281895,5.153552095419665,2.5839118681760304e-7,0.06811985274067449,0.15174205558311515
weak_foot_rating.Q,0.01860694366543804,0.017823796779000242,1.0439382751132178,0.29652844125862926,-0.016329484630957333,0.05354337196183341
weak_foot_rating.C,0.03890779394395126,0.011664645427391254,3.3355316444156,8.531439407237514e-4,0.016043919673511504,0.06177166821439102
weak_foot_rating^4,-0.02871100050030627,0.006053276960166871,-4.743050861415532,2.1219210065244592e-6,-0.04057603010647047,-0.016845970894142068
preferred_footLeft:position_groupMidfield,-0.011914205181550563,0.015193724583436244,-0.7841530308203087,0.43296098868559285,-0.04169542834326201,0.017867017980160885
preferred_footLeft:position_groupDefense,-0.11874898856422343,0.014804590012092859,-8.021092679177572,1.114141089589703e-15,-0.14776746896029674,-0.08973050816815012
preferred_footLeft:position_groupGK,0.030407490486262515,0.025845708499872232,1.1765005585516386,0.2394109930537041,-0.020252688877944226,0.08106766985046926
